序号,URL,参数,说明
166,/rag/v1/tenant/<tenant_id>/user/list,,tenant.user_list
167,/rag/v1/tenant/agree/<tenant_id>,,tenant.agree
168,/rag/v1/tenant/list,,tenant.tenant_list
169,/rag/v1/user/feishu_callback,,user.feishu_callback
170,/rag/v1/user/github_callback,,user.github_callback
171,/rag/v1/user/info,,user.user_profile
172,/rag/v1/user/login,,user.login
173,/rag/v1/user/login/<channel>,,user.oauth_login
174,/rag/v1/user/login/channels,,user.get_login_channels
175,/rag/v1/user/logout,,user.log_out
176,/rag/v1/user/oauth/callback/<channel>,,user.oauth_callback
177,/rag/v1/user/register,,user.user_add
178,/rag/v1/user/set_tenant_info,,user.set_tenant_info
179,/rag/v1/user/setting,,user.setting_user
180,/rag/v1/user/tenant_info,,user.tenant_info
181,/static/<path:filename>,,static
